Infinitive verb,English translation,Pronunciation,Pronouns,Present Simple Tense,Past Preterite Tense,Past Imperfect Tense,Conditional Tense,Future Simple Tense
,,,tú,cuestas,costaste,costabas,costarías,costarás
,,,él/ella/usted,cuesta,costó,costaba,costaría,costará
,,,nosotros,costamos,costamos,costábamos,costaríamos,costaremos
,,,vosotros,costáis,costasteis,costabais,costaríais,costaréis
,,,ellos/ellas/ustedes,cuestan,costaron,costaban,costarían,costarán
crear,to create,kreh - ahr,yo,creo,creé,creaba,crearía,crearé
,,,tú,creas,creaste,creabas,crearías,crearás
,,,él/ella/usted,crea,creó,creaba,crearía,creará
,,,nosotros,creamos,creamos,creábamos,crearíamos,crearemos
,,,vosotros,creáis,creasteis,creabais,crearíais,crearéis
,,,ellos/ellas/ustedes,crean,crearon,creaban,crearían,crearán
creer,to believe,kreh - ehr,yo,creo,creí,creía,creería,creeré
,,,tú,crees,creíste,creías,creerías,creerás
,,,él/ella/usted,cree,creyó,creía,creería,creerá
,,,nosotros,creemos,creímos,creíamos,creeríamos,creeremos
,,,vosotros,creéis,creísteis,creíais,creeríais,creeréis
,,,ellos/ellas/ustedes,creen,creyeron,creían,creerían,creerán
cruzar,to cross,kroo - thahr,yo,cruzo,crucé,cruzaba,cruzaría,cruzaré
,,,tú,cruzas,cruzaste,cruzabas,cruzarías,cruzarás
